銷售分類,銷售商品名稱,販售規格,禮盒／組合判定,建議組成類型,銷售商品SKU_正式,組成項次,對應內包裝成品SKU,對應內包裝成品名稱,每1單位銷售商品需用內包裝數量,內包裝扣帳單位,是否需要外包裝組裝,外包裝材料SKU,外包裝材料名稱,外包裝材料數量,外包裝扣帳單位,備註,對應內包裝成品SKU_建議,對應內包裝成品名稱_建議,內包裝單位1_建議,內包裝單位2_建議
加購品,提袋加購,單入提袋,否,no_inner_stage,O00001,1,,,,,是,PK0014,手提夾鏈袋,1,個,正式加購品；僅扣 PK0014 手提夾鏈袋,,,,
夏威夷豆塔,豆塔-蔓越莓,10入袋裝,否,direct_from_inner,A10010,1,A1,豆塔-蔓越莓,10,個,是,PK0014,手提夾鏈袋,1,個,,A1,豆塔-蔓越莓,個,
夏威夷豆塔,豆塔-蔓越莓,單顆,否,direct_from_inner,A10001,1,A1,豆塔-蔓越莓,1,個,否,,,,,,A1,豆塔-蔓越莓,個,
夏威夷豆塔,豆塔-焦糖,10入袋裝,否,direct_from_inner,A20010,1,A2,豆塔-焦糖,10,個,是,PK0014,手提夾鏈袋,1,個,,A2,豆塔-焦糖,個,
夏威夷豆塔,豆塔-焦糖,單顆,否,direct_from_inner,A20001,1,A2,豆塔-焦糖,1,個,否,,,,,,A2,豆塔-焦糖,個,
夏威夷豆塔,豆塔-巧克力,10入袋裝,否,direct_from_inner,A30010,1,A3,豆塔-巧克力,10,個,是,PK0014,手提夾鏈袋,1,個,,A3,豆塔-巧克力,個,
夏威夷豆塔,豆塔-巧克力,單顆,否,direct_from_inner,A30001,1,A3,豆塔-巧克力,1,個,否,,,,,,A3,豆塔-巧克力,個,
夏威夷豆塔,豆塔-抹茶,10入袋裝,否,direct_from_inner,A40010,1,A4,豆塔-抹茶,10,個,是,PK0014,手提夾鏈袋,1,個,,A4,豆塔-抹茶,個,
夏威夷豆塔,豆塔-抹茶,單顆,否,direct_from_inner,A40001,1,A4,豆塔-抹茶,1,個,否,,,,,,A4,豆塔-抹茶,個,
夏威夷豆塔,豆塔-椒麻,10入袋裝,否,direct_from_inner,A50010,1,A5,豆塔-椒麻,10,個,是,PK0014,手提夾鏈袋,1,個,,A5,豆塔-椒麻,個,
夏威夷豆塔,豆塔-椒麻,單顆,否,direct_from_inner,A50001,1,A5,豆塔-椒麻,1,個,否,,,,,,A5,豆塔-椒麻,個,
堅果塔,堅果塔-蜂蜜,10入袋裝,否,direct_from_inner,B10010,1,B1,堅果塔-蜂蜜,10,個,是,PK0014,手提夾鏈袋,1,個,,B1,堅果塔-蜂蜜,個,
堅果塔,堅果塔-蜂蜜,單顆,否,direct_from_inner,B10001,1,B1,堅果塔-蜂蜜,1,個,否,,,,,,B1,堅果塔-蜂蜜,個,
堅果塔,堅果塔-焦糖,10入袋裝,否,direct_from_inner,B20010,1,B2,堅果塔-焦糖,10,個,是,PK0014,手提夾鏈袋,1,個,,B2,堅果塔-焦糖,個,
堅果塔,堅果塔-焦糖,單顆,否,direct_from_inner,B20001,1,B2,堅果塔-焦糖,1,個,否,,,,,,B2,堅果塔-焦糖,個,
堅果塔,堅果塔-巧克力,10入袋裝,否,direct_from_inner,B30010,1,B3,堅果塔-巧克力,10,個,是,PK0014,手提夾鏈袋,1,個,,B3,堅果塔-巧克力,個,
堅果塔,堅果塔-巧克力,單顆,否,direct_from_inner,B30001,1,B3,堅果塔-巧克力,1,個,否,,,,,,B3,堅果塔-巧克力,個,
