原料代碼,原料名稱,原料類型,採購單位,庫存單位,生產單位,是否批次追蹤,是否效期追蹤,狀態,生效日,失效日,停用原因,來源建立方式,來源分類,來源列號,原始品項名稱,備註
RM0001,夏威夷豆4LL,堅果種子類,箱,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,2,▲夏威夷豆4LL11.34kg/箱,來源列含盤點標記
RM0002,夏威夷豆4L,堅果種子類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,3,*夏威夷豆4L11.34kg/箱 | (分裝1500g),來源列含盤點標記；來源列含分裝規則
RM0003,腰果,堅果種子類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,4,*腰果11.34kg/箱 | (分裝1500g),來源列含盤點標記；來源列含分裝規則
RM0004,杏仁果,堅果種子類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,5,*杏仁果22.7kg/箱  | (分裝1500g),來源列含盤點標記；來源列含分裝規則
RM0005,小核桃(1/8),堅果種子類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,6,*小核桃(1/8)13.6kg/箱 | (分裝1500g),來源列含盤點標記；來源列含分裝規則
RM0006,大核桃(1/2),堅果種子類,箱,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,8,▲大核桃(1/2)10kg/箱,來源列含盤點標記
RM0007,杏仁薄片,堅果種子類,箱,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,9,杏仁薄片11.34kg/箱,
RM0008,杏仁條,堅果種子類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,10,*杏仁條11.34kg/箱 | (分裝1500g),來源列含盤點標記；來源列含分裝規則
RM0009,杏仁角,堅果種子類,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,11,*杏仁角(分裝500g),來源列含盤點標記；來源列含分裝規則
RM0010,白芝麻,堅果種子類,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,12,*白芝麻(分裝500g) | *Mè trắng,來源列含盤點標記；來源列含分裝規則
RM0011,南瓜子,堅果種子類,包,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【堅果類】,13,*南瓜子(分裝240g),來源列含盤點標記；來源列含分裝規則
RM0012,切片蔓越莓乾,冷藏食材類,箱,包,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,15,*切片蔓越莓乾11.34kg/箱 | 蔓越莓豆塔-分裝400g(1倍)/包,來源列含盤點標記；來源列含分裝規則
RM0013,鈕扣黑巧克力,冷藏食材類,包,袋,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,16,*鈕扣黑巧克力1kg/包 | 巧克力豆塔-分裝680g(1倍)/包,正式分裝單位收斂為袋；採購單位保留包
RM0014,鈕扣白巧克力,冷藏食材類,包,袋,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,17,*鈕扣白巧克力1kg/包 | 抹茶豆塔-分裝640g(1倍)/包,正式分裝單位收斂為袋；採購單位保留包
RM0015,水滴巧克力,冷藏食材類,包,袋,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,18,*水滴巧克力1kg/包 | 巧克力瓦片-分裝400g(10倍)/包,正式分裝單位收斂為袋；採購單位保留包
RM0016,一般奶油,冷藏食材類,箱,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,19,一般奶油25kg/箱,
RM0017,發酵奶油,冷藏食材類,箱,g,g,否,否,啟用,2026-04-01,,,由食材清單.xlsx 第一版轉換草案,【冷藏類】,20,發酵奶油25kg/箱,
