內包裝完成品SKU,內包裝完成品名稱,適用包裝規格,耗材項次,內包裝耗材SKU,內包裝耗材名稱,每1單位內包裝完成品需用耗材數量,耗材扣帳單位,適用情境,狀態,生效日,失效日,停用原因,來源建立方式,備註
A1,豆塔-蔓越莓,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
A1,豆塔-蔓越莓,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
A2,豆塔-焦糖,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
A2,豆塔-焦糖,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
A3,豆塔-巧克力,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
A3,豆塔-巧克力,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
A4,豆塔-抹茶,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
A4,豆塔-抹茶,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
A5,豆塔-椒麻,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
A5,豆塔-椒麻,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,夏威夷豆塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
B1,堅果塔-蜂蜜,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
B1,堅果塔-蜂蜜,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
B2,堅果塔-焦糖,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
B2,堅果塔-焦糖,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
B3,堅果塔-巧克力,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
B3,堅果塔-巧克力,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
B4,堅果塔-海苔,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
B4,堅果塔-海苔,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
B5,堅果塔-咖哩,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
B5,堅果塔-咖哩,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,堅果塔單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
H1,雪花餅-蔓越莓,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
H1,雪花餅-蔓越莓,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
H2,雪花餅-巧克力,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
H2,雪花餅-巧克力,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
H3,雪花餅-金沙,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
H3,雪花餅-金沙,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
H4,雪花餅-抹茶,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
H4,雪花餅-抹茶,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
H5,雪花餅-肉鬆,單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
H5,雪花餅-肉鬆,單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,雪花餅單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
P1,土鳳梨酥(紅點),單顆,1,PK0038,膠捲500m - 紅色,0.0002439024,卷,鳳梨酥單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,優先扣 PK0038；1 卷約可包 4100 個
P1,土鳳梨酥(紅點),單顆,2,PK0039,膠捲230m - 紅色,0.0005405405,卷,鳳梨酥單顆內包裝封膜,啟用,2026/3/26,,,2026-03-31 規則補登,PK0038 用完後改扣 PK0039；1 卷約可包 1850 個
