項次,出貨及行政耗材名稱,耗材分類,庫存單位,是否納入系統扣帳,管理方式,盤點頻率建議,主要用途摘要,是否常用,狀態,生效日,失效日,停用原因,來源建立方式,備註
1,印單感熱紙,出貨耗材,卷,否,人工盤點,系統初期每週一次；穩定後每月一次,出貨單與撿貨單列印,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
2,封箱膠帶,出貨耗材,卷,否,人工盤點,系統初期每週一次；穩定後每月一次,紙箱封裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
3,桌上型膠帶,行政耗材,卷,否,人工盤點,系統初期每週一次；穩定後每月一次,行政與日常包裝輔助黏貼,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
4,A4影印紙,行政耗材,包,否,人工盤點,系統初期每週一次；穩定後每月一次,行政文件與內部作業列印,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
5,氣泡紙捲,出貨耗材,卷,否,人工盤點,系統初期每週一次；穩定後每月一次,出貨緩衝包材,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
6,日期標籤貼紙,出貨耗材,張,否,人工盤點,系統初期每週一次；穩定後每月一次,效期與出貨日期標示,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
7,紙箱-迷你箱,出貨耗材,個,否,人工盤點,系統初期每週一次；穩定後每月一次,小型宅配與出貨包裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
8,紙箱-0號,出貨耗材,個,否,人工盤點,系統初期每週一次；穩定後每月一次,宅配出貨包裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
9,紙箱-1號,出貨耗材,個,否,人工盤點,系統初期每週一次；穩定後每月一次,宅配出貨包裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
10,紙箱-2號,出貨耗材,個,否,人工盤點,系統初期每週一次；穩定後每月一次,宅配出貨包裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
11,紙箱-3號,出貨耗材,個,否,人工盤點,系統初期每週一次；穩定後每月一次,大型宅配出貨包裝,是,啟用,2026/3/26,,,2026-03-31 補充建檔,
