適用對象類型,適用對象SKU,適用對象名稱,基準單位,換算單位,換算率,換算率說明,來源依據,狀態,生效日,失效日,停用原因,來源建立方式,核定狀態,核定人,核定日期,備註
原料,RM0001,夏威夷豆4LL,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / ▲夏威夷豆4LL11.34kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0002,夏威夷豆4L,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / *夏威夷豆4L11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0002,夏威夷豆4L,包,g,1500,1 包 = 1500 g,食材清單.xlsx / *夏威夷豆4L11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0003,腰果,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / *腰果11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0003,腰果,包,g,1500,1 包 = 1500 g,食材清單.xlsx / *腰果11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0004,杏仁果,箱,g,22700,1 箱 = 22700 g,食材清單.xlsx / *杏仁果22.7kg/箱  | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0004,杏仁果,包,g,1500,1 包 = 1500 g,食材清單.xlsx / *杏仁果22.7kg/箱  | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0005,小核桃(1/8),箱,g,13600,1 箱 = 13600 g,食材清單.xlsx / *小核桃(1/8)13.6kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0005,小核桃(1/8),包,g,1500,1 包 = 1500 g,食材清單.xlsx / *小核桃(1/8)13.6kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0006,大核桃(1/2),箱,g,10000,1 箱 = 10000 g,食材清單.xlsx / ▲大核桃(1/2)10kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0007,杏仁薄片,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / 杏仁薄片11.34kg/箱,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0008,杏仁條,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / *杏仁條11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0008,杏仁條,包,g,1500,1 包 = 1500 g,食材清單.xlsx / *杏仁條11.34kg/箱 | (分裝1500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0009,杏仁角,包,g,500,1 包 = 500 g,食材清單.xlsx / *杏仁角(分裝500g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0010,白芝麻,包,g,500,1 包 = 500 g,食材清單.xlsx / *白芝麻(分裝500g) | *Mè trắng,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0011,南瓜子,包,g,240,1 包 = 240 g,食材清單.xlsx / *南瓜子(分裝240g),草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0012,切片蔓越莓乾,箱,g,11340,1 箱 = 11340 g,食材清單.xlsx / *切片蔓越莓乾11.34kg/箱 | 蔓越莓豆塔-分裝400g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0012,切片蔓越莓乾,包,g,400,1 包 = 400 g,食材清單.xlsx / *切片蔓越莓乾11.34kg/箱 | 蔓越莓豆塔-分裝400g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由分裝規格推定
原料,RM0013,鈕扣黑巧克力,包,g,1000,1 包 = 1000 g,食材清單.xlsx / *鈕扣黑巧克力1kg/包 | 巧克力豆塔-分裝680g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,
原料,RM0013,鈕扣黑巧克力,袋,g,680,1 袋 = 680 g,食材清單.xlsx / *鈕扣黑巧克力1kg/包 | 巧克力豆塔-分裝680g(1倍)/包,草稿,2026-04-01,,,由食材清單.xlsx 第二輪轉換草案,待核定,,,由使用者補充正式分裝單位為袋
